name,name_link,gender,state,state_link,position,appointed_by,appointed_by_link
Sandra Day O'Connor,https://en.wikipedia.org/wiki/Sandra_Day_O%27Connor,female,AZ,https://en.wikipedia.org/wiki/Arizona,"Associate
Justice",Ronald Reagan,https://en.wikipedia.org/wiki/Ronald_Reagan
William Rehnquist,https://en.wikipedia.org/wiki/William_Rehnquist,male,VA,https://en.wikipedia.org/wiki/Virginia,"Chief
Justice",Ronald Reagan,https://en.wikipedia.org/wiki/Ronald_Reagan
Antonin Scalia,https://en.wikipedia.org/wiki/Antonin_Scalia,male,VA,https://en.wikipedia.org/wiki/Virginia,"Associate
Justice",Ronald Reagan,https://en.wikipedia.org/wiki/Ronald_Reagan
Anthony Kennedy,https://en.wikipedia.org/wiki/Anthony_Kennedy,male,CA,https://en.wikipedia.org/wiki/California,"Associate
Justice",Ronald Reagan,https://en.wikipedia.org/wiki/Ronald_Reagan
David Souter,https://en.wikipedia.org/wiki/David_Souter,male,NH,https://en.wikipedia.org/wiki/New_Hampshire,"Associate
Justice",George H. W. Bush,https://en.wikipedia.org/wiki/George_H._W._Bush
Clarence Thomas,https://en.wikipedia.org/wiki/Clarence_Thomas,male,GA,https://en.wikipedia.org/wiki/Georgia_(U.S._state),"Associate
Justice",George H. W. Bush,https://en.wikipedia.org/wiki/George_H._W._Bush
Ruth Bader Ginsburg,https://en.wikipedia.org/wiki/Ruth_Bader_Ginsburg,female,NY,https://en.wikipedia.org/wiki/New_York_(state),"Associate
Justice",Bill Clinton,https://en.wikipedia.org/wiki/Bill_Clinton
Stephen Breyer,https://en.wikipedia.org/wiki/Stephen_Breyer,male,MA,https://en.wikipedia.org/wiki/Massachusetts,"Associate
Justice",Bill Clinton,https://en.wikipedia.org/wiki/Bill_Clinton
John Roberts,https://en.wikipedia.org/wiki/John_Roberts,male,MD,https://en.wikipedia.org/wiki/Maryland,"Chief
Justice",George W. Bush,https://en.wikipedia.org/wiki/George_W._Bush
Samuel Alito,https://en.wikipedia.org/wiki/Samuel_Alito,male,NJ,https://en.wikipedia.org/wiki/New_Jersey,"Associate
Justice",George W. Bush,https://en.wikipedia.org/wiki/George_W._Bush
Sonia Sotomayor,https://en.wikipedia.org/wiki/Sonia_Sotomayor,female,NY,https://en.wikipedia.org/wiki/New_York_(state),"Associate
Justice",Barack Obama,https://en.wikipedia.org/wiki/Barack_Obama
Elena Kagan,https://en.wikipedia.org/wiki/Elena_Kagan,female,MA,https://en.wikipedia.org/wiki/Massachusetts,"Associate
Justice",Barack Obama,https://en.wikipedia.org/wiki/Barack_Obama
Neil Gorsuch,https://en.wikipedia.org/wiki/Neil_Gorsuch,male,CO,https://en.wikipedia.org/wiki/Colorado,"Associate
Justice",Donald Trump,https://en.wikipedia.org/wiki/Donald_Trump
Brett Kavanaugh,https://en.wikipedia.org/wiki/Brett_Kavanaugh,male,MD,https://en.wikipedia.org/wiki/Maryland,Associate Justice,Donald Trump,https://en.wikipedia.org/wiki/Donald_Trump
